event_time,order_id,product_id,category_id,category_code,brand,price,user_id
2020-04-24 11:50:39 UTC,2294359932054536986,1515966223509089906,2268105426648170900,electronics.tablet,samsung,162.01,1515915625441993984
2020-04-24 11:50:39 UTC,2294359932054536986,1515966223509089906,2268105426648170900,electronics.tablet,samsung,162.01,1515915625441993984
2020-04-24 14:37:43 UTC,2294444024058086220,2273948319057183658,2268105430162997728,electronics.audio.headphone,huawei,77.52,1515915625447879434
2020-04-24 14:37:43 UTC,2294444024058086220,2273948319057183658,2268105430162997728,electronics.audio.headphone,huawei,77.52,1515915625447879434
2020-04-24 19:16:21 UTC,2294584263154074236,2273948316817424439,2268105471367840086,,karcher,217.57,1515915625443148002
2020-04-26 08:45:57 UTC,2295716521449619559,1515966223509261697,2268105442636858090,furniture.kitchen.table,maestro,39.33,1515915625450382722
2020-04-26 09:33:47 UTC,2295740594749702229,1515966223509104892,2268105428166508982,electronics.smartphone,apple,1387.01,1515915625448766480
2020-04-26 09:33:47 UTC,2295740594749702229,1515966223509104892,2268105428166508982,electronics.smartphone,apple,1387.01,1515915625448766480
2020-04-26 09:33:47 UTC,2295740594749702229,1515966223509104892,2268105428166508982,electronics.smartphone,apple,1387.01,1515915625448766480
2020-04-26 09:33:47 UTC,2295740594749702229,1515966223509104892,2268105428166508982,electronics.smartphone,apple,1387.01,1515915625448766480
2020-04-26 14:55:26 UTC,2295902490203259134,2273948311742316796,2268105393848713950,appliances.kitchen.refrigerators,lg,462.94,1515915625450561165
2020-04-26 23:35:39 UTC,2296164324487463110,1515966223509259473,2268105402447037312,appliances.personal.scales,polaris,30.07,1515915625446798439
2020-04-27 07:24:51 UTC,2296400480990920715,2273948308663698152,2374498914000592280,electronics.video.tv,samsung,416.64,1515915625450899340
2020-04-27 14:57:22 UTC,2296628237930857206,1515966223509089660,2268105410021949476,computers.components.cpu,intel,91.41,1515915625451131565
2020-04-27 14:57:22 UTC,2296628237930857206,1515966223509089660,2268105410021949476,computers.components.cpu,intel,91.41,1515915625451131565
2020-04-27 14:57:22 UTC,2296628237930857206,1515966223509089660,2268105410021949476,computers.components.cpu,intel,91.41,1515915625451131565
2020-04-28 02:21:45 UTC,2296972701060825130,1515966223509104683,2268105402774193030,,philips,23.13,1515915625451212869
2020-04-28 03:47:48 UTC,2297016008231092565,1515966223509089780,2268105407220155366,computers.notebook,asus,509.24,1515915625443158850
2020-04-28 04:25:00 UTC,2297034737199350540,1515966223509719628,2268105635507732512,,,6.94,1515915625447779982
2020-04-28 04:25:00 UTC,2297034737199350540,1515966223509719628,2268105635507732512,,,6.94,1515915625447779982
2020-04-28 09:01:47 UTC,2297174044555871159,2273948222957290212,2268105409225031698,computers.peripherals.monitor,samsung,254.61,1515915625442675260
2020-04-28 09:01:47 UTC,2297174044555871159,2273948222957290212,2268105409225031698,computers.peripherals.monitor,samsung,254.61,1515915625442675260
2020-04-28 11:36:47 UTC,2297252054407578606,2273948303177548033,2268105407933187062,computers.peripherals.printer,epson,164.33,1515915625450916989
2020-04-28 11:36:47 UTC,2297252054407578606,2273948303177548033,2268105407933187062,computers.peripherals.printer,epson,164.33,1515915625450916989
